Variable,Caida_AP_Media,Desviacion
Localidad,0.09921472546976445,0.0017288961747857522
Franja_Horaria,0.06927385803635934,0.007172696787347505
Dia_Semana,0.016163238508001315,0.0028630365961766478
Accidentes_Prom_30d,0.013095603596909422,0.000923553807247084
Es_Festivo,0.005895127345073248,0.0018941716869507541
Accidentes_Prom_7d,0.003437186986774421,0.0014735992552831869
Es_Fin_de_Semana,0.0019081245723589306,0.0032859886185657994
Sin_Historial_Accidentes_Prom_7d,0.0,0.0
Sin_Historial_Accidentes_Prom_30d,0.0,0.0
Sin_Historial_Accidentes_Semana_Anterior,0.0,0.0
Accidentes_Semana_Anterior,-8.716786298440526e-05,0.0009853810457302794
Mes,-0.0035217985738307997,0.0012175383034791858
