Localidad,Franja_Horaria,Umbral_Etiqueta
ANTONIO NARIÑO,Madrugada,0.0
ANTONIO NARIÑO,Mañana,0.0
ANTONIO NARIÑO,Noche,0.0
ANTONIO NARIÑO,Tarde,0.0
BARRIOS UNIDOS,Madrugada,0.0
BARRIOS UNIDOS,Mañana,1.0
BARRIOS UNIDOS,Noche,0.0
BARRIOS UNIDOS,Tarde,1.0
BOSA,Madrugada,0.0
BOSA,Mañana,1.0
BOSA,Noche,1.0
BOSA,Tarde,1.0
CANDELARIA,Madrugada,0.0
CANDELARIA,Mañana,0.0
CANDELARIA,Noche,0.0
CANDELARIA,Tarde,0.0
CHAPINERO,Madrugada,0.0
CHAPINERO,Mañana,0.0
CHAPINERO,Noche,0.0
CHAPINERO,Tarde,0.0
CIUDAD BOLÍVAR,Madrugada,0.0
CIUDAD BOLÍVAR,Mañana,1.0
CIUDAD BOLÍVAR,Noche,1.0
CIUDAD BOLÍVAR,Tarde,1.0
ENGATIVÁ,Madrugada,0.0
ENGATIVÁ,Mañana,1.0
ENGATIVÁ,Noche,1.0
ENGATIVÁ,Tarde,1.0
FONTIBÓN,Madrugada,0.0
FONTIBÓN,Mañana,1.0
FONTIBÓN,Noche,1.0
FONTIBÓN,Tarde,1.0
KENNEDY,Madrugada,1.0
KENNEDY,Mañana,2.0
KENNEDY,Noche,2.0
KENNEDY,Tarde,2.0
LOS MÁRTIRES,Madrugada,0.0
LOS MÁRTIRES,Mañana,0.0
LOS MÁRTIRES,Noche,0.0
LOS MÁRTIRES,Tarde,0.0
PUENTE ARANDA,Madrugada,0.0
PUENTE ARANDA,Mañana,1.0
PUENTE ARANDA,Noche,1.0
PUENTE ARANDA,Tarde,1.0
RAFAEL URIBE URIBE,Madrugada,0.0
RAFAEL URIBE URIBE,Mañana,0.0
RAFAEL URIBE URIBE,Noche,0.0
RAFAEL URIBE URIBE,Tarde,1.0
SAN CRISTÓBAL,Madrugada,0.0
SAN CRISTÓBAL,Mañana,1.0
SAN CRISTÓBAL,Noche,0.0
SAN CRISTÓBAL,Tarde,1.0
SANTA FE,Madrugada,0.0
SANTA FE,Mañana,0.0
SANTA FE,Noche,0.0
SANTA FE,Tarde,0.0
SUBA,Madrugada,0.0
SUBA,Mañana,1.0
SUBA,Noche,1.0
SUBA,Tarde,1.0
SUMAPAZ,Madrugada,0.0
SUMAPAZ,Mañana,0.0
SUMAPAZ,Noche,0.0
SUMAPAZ,Tarde,0.0
TEUSAQUILLO,Madrugada,0.0
TEUSAQUILLO,Mañana,1.0
TEUSAQUILLO,Noche,0.0
TEUSAQUILLO,Tarde,1.0
TUNJUELITO,Madrugada,0.0
TUNJUELITO,Mañana,0.0
TUNJUELITO,Noche,0.0
TUNJUELITO,Tarde,0.0
USAQUÉN,Madrugada,0.0
USAQUÉN,Mañana,1.0
USAQUÉN,Noche,0.0
USAQUÉN,Tarde,1.0
USME,Madrugada,0.0
USME,Mañana,0.0
USME,Noche,0.0
USME,Tarde,0.0
