Actor,Dia_Num,Franja_Horaria,Siniestros_Con_Participacion,Dias_Calendario,Promedio_Diario,Dia_Semana
Motocicleta,0,Madrugada,595,366,1.6256830601092895,Lunes
Motocicleta,0,Mañana,2158,366,5.896174863387978,Lunes
Motocicleta,0,Tarde,2070,366,5.655737704918033,Lunes
Motocicleta,0,Noche,1823,366,4.98087431693989,Lunes
Motocicleta,1,Madrugada,504,366,1.3770491803278688,Martes
Motocicleta,1,Mañana,2596,366,7.092896174863388,Martes
Motocicleta,1,Tarde,2223,366,6.073770491803279,Martes
Motocicleta,1,Noche,2029,366,5.543715846994536,Martes
Motocicleta,2,Madrugada,571,365,1.5643835616438355,Miércoles
Motocicleta,2,Mañana,2572,365,7.046575342465753,Miércoles
Motocicleta,2,Tarde,2249,365,6.161643835616438,Miércoles
Motocicleta,2,Noche,2002,365,5.484931506849315,Miércoles
Motocicleta,3,Madrugada,651,365,1.7835616438356163,Jueves
Motocicleta,3,Mañana,2560,365,7.013698630136986,Jueves
Motocicleta,3,Tarde,2147,365,5.882191780821918,Jueves
Motocicleta,3,Noche,2018,365,5.528767123287671,Jueves
Motocicleta,4,Madrugada,757,365,2.073972602739726,Viernes
Motocicleta,4,Mañana,2639,365,7.23013698630137,Viernes
Motocicleta,4,Tarde,2284,365,6.257534246575342,Viernes
Motocicleta,4,Noche,2317,365,6.347945205479452,Viernes
Motocicleta,5,Madrugada,1113,365,3.0493150684931507,Sábado
Motocicleta,5,Mañana,2088,365,5.720547945205479,Sábado
Motocicleta,5,Tarde,2394,365,6.558904109589041,Sábado
Motocicleta,5,Noche,2231,365,6.112328767123287,Sábado
Motocicleta,6,Madrugada,1058,365,2.8986301369863012,Domingo
Motocicleta,6,Mañana,1318,365,3.610958904109589,Domingo
Motocicleta,6,Tarde,1581,365,4.331506849315068,Domingo
Motocicleta,6,Noche,1452,365,3.978082191780822,Domingo
Peatón,0,Madrugada,181,366,0.49453551912568305,Lunes
Peatón,0,Mañana,833,366,2.2759562841530054,Lunes
Peatón,0,Tarde,1033,366,2.8224043715846996,Lunes
Peatón,0,Noche,789,366,2.1557377049180326,Lunes
Peatón,1,Madrugada,147,366,0.4016393442622951,Martes
Peatón,1,Mañana,972,366,2.6557377049180326,Martes
Peatón,1,Tarde,1086,366,2.9672131147540983,Martes
Peatón,1,Noche,869,366,2.3743169398907105,Martes
Peatón,2,Madrugada,179,365,0.4904109589041096,Miércoles
Peatón,2,Mañana,951,365,2.6054794520547944,Miércoles
Peatón,2,Tarde,1051,365,2.8794520547945206,Miércoles
Peatón,2,Noche,854,365,2.33972602739726,Miércoles
Peatón,3,Madrugada,192,365,0.5260273972602739,Jueves
Peatón,3,Mañana,906,365,2.4821917808219176,Jueves
Peatón,3,Tarde,1065,365,2.9178082191780823,Jueves
Peatón,3,Noche,863,365,2.3643835616438356,Jueves
Peatón,4,Madrugada,210,365,0.5753424657534246,Viernes
Peatón,4,Mañana,896,365,2.4547945205479453,Viernes
Peatón,4,Tarde,1116,365,3.0575342465753423,Viernes
Peatón,4,Noche,998,365,2.734246575342466,Viernes
Peatón,5,Madrugada,329,365,0.9013698630136986,Sábado
Peatón,5,Mañana,726,365,1.989041095890411,Sábado
Peatón,5,Tarde,1107,365,3.032876712328767,Sábado
Peatón,5,Noche,1145,365,3.136986301369863,Sábado
Peatón,6,Madrugada,380,365,1.0410958904109588,Domingo
Peatón,6,Mañana,492,365,1.347945205479452,Domingo
Peatón,6,Tarde,865,365,2.3698630136986303,Domingo
Peatón,6,Noche,698,365,1.9123287671232876,Domingo
Bicicleta,0,Madrugada,139,366,0.3797814207650273,Lunes
Bicicleta,0,Mañana,786,366,2.1475409836065573,Lunes
Bicicleta,0,Tarde,712,366,1.9453551912568305,Lunes
Bicicleta,0,Noche,518,366,1.4153005464480874,Lunes
Bicicleta,1,Madrugada,143,366,0.3907103825136612,Martes
Bicicleta,1,Mañana,962,366,2.628415300546448,Martes
Bicicleta,1,Tarde,750,366,2.0491803278688523,Martes
Bicicleta,1,Noche,629,366,1.7185792349726776,Martes
Bicicleta,2,Madrugada,143,365,0.3917808219178082,Miércoles
Bicicleta,2,Mañana,928,365,2.5424657534246577,Miércoles
Bicicleta,2,Tarde,757,365,2.073972602739726,Miércoles
Bicicleta,2,Noche,587,365,1.6082191780821917,Miércoles
Bicicleta,3,Madrugada,188,365,0.5150684931506849,Jueves
Bicicleta,3,Mañana,894,365,2.4493150684931506,Jueves
Bicicleta,3,Tarde,715,365,1.9589041095890412,Jueves
Bicicleta,3,Noche,623,365,1.7068493150684931,Jueves
Bicicleta,4,Madrugada,184,365,0.5041095890410959,Viernes
Bicicleta,4,Mañana,946,365,2.591780821917808,Viernes
Bicicleta,4,Tarde,743,365,2.0356164383561643,Viernes
Bicicleta,4,Noche,660,365,1.8082191780821917,Viernes
Bicicleta,5,Madrugada,192,365,0.5260273972602739,Sábado
Bicicleta,5,Mañana,701,365,1.9205479452054794,Sábado
Bicicleta,5,Tarde,679,365,1.8602739726027397,Sábado
Bicicleta,5,Noche,586,365,1.6054794520547946,Sábado
Bicicleta,6,Madrugada,140,365,0.3835616438356164,Domingo
Bicicleta,6,Mañana,480,365,1.3150684931506849,Domingo
Bicicleta,6,Tarde,480,365,1.3150684931506849,Domingo
Bicicleta,6,Noche,318,365,0.8712328767123287,Domingo
