Localidad,Bicicleta,Motocicleta,Peatón,Siniestros_Totales,Participacion_Motocicleta,Participacion_Peatón,Participacion_Bicicleta
ANTONIO NARIÑO,332,1409,504,2251,0.6259440248778321,0.22390048867170145,0.14749000444247
BARRIOS UNIDOS,523,1934,575,3280,0.5896341463414634,0.17530487804878048,0.15945121951219512
BOSA,1648,3639,1601,6250,0.58224,0.25616,0.26368
CANDELARIA,78,250,152,434,0.576036866359447,0.35023041474654376,0.17972350230414746
CHAPINERO,421,1616,782,3020,0.5350993377483444,0.2589403973509934,0.13940397350993378
CIUDAD BOLÍVAR,606,2698,1493,4465,0.6042553191489362,0.33437849944008957,0.13572228443449047
ENGATIVÁ,1750,4558,1710,7877,0.5786466929033897,0.21708772375269772,0.22216579916211757
FONTIBÓN,1204,3140,972,5356,0.5862584017923824,0.18147871545929797,0.22479462285287527
KENNEDY,2665,7070,2847,11879,0.5951679434295816,0.23966663860594326,0.2243454836265679
LOS MÁRTIRES,405,1805,779,2972,0.607335127860027,0.2621130551816958,0.13627187079407807
PUENTE ARANDA,1107,3933,1181,6166,0.6378527408368472,0.19153421991566655,0.17953292247810573
RAFAEL URIBE URIBE,439,1969,1035,3309,0.5950438198851616,0.31278331822302813,0.13266847990329406
SAN CRISTÓBAL,361,2224,1224,3693,0.6022204170051448,0.3314378554021121,0.09775250473869483
SANTA FE,310,1644,1059,2993,0.5492816572001337,0.353825593050451,0.10357500835282325
SUBA,1814,3993,1720,7235,0.5519004837595024,0.2377332411886662,0.2507256392536282
SUMAPAZ,1,6,0,10,0.6,0.0,0.1
TEUSAQUILLO,464,2168,569,3550,0.6107042253521127,0.16028169014084506,0.13070422535211268
TUNJUELITO,484,1906,652,3004,0.6344873501997337,0.2170439414114514,0.1611185086551265
USAQUÉN,720,2552,1095,4802,0.5314452311536859,0.22802998750520617,0.1499375260308205
USME,251,1486,983,2653,0.5601206181681115,0.37052393516773463,0.09460987561251413
