Localidad,Longitud,Latitud,Siniestros
ANTONIO NARIÑO,-74.10270541700001,4.58870372408,2116
BARRIOS UNIDOS,-74.07197149289499,4.668017112499995,3184
BOSA,-74.186907348,4.6132459383299995,6002
CANDELARIA,-74.075771547385,4.59512095299999,406
CHAPINERO,-74.058834909,4.65719999999999,2989
CIUDAD BOLÍVAR,-74.15073890295,4.56783456958,4329
ENGATIVÁ,-74.10724476424,4.69598531499997,7802
FONTIBÓN,-74.13506313799999,4.671554037224995,5300
KENNEDY,-74.152647154,4.62791575199998,11719
LOS MÁRTIRES,-74.08923949726,4.60579613721,2847
PUENTE ARANDA,-74.113281599,4.61700000000002,5975
RAFAEL URIBE URIBE,-74.115021551025,4.575159250000015,3238
SAN CRISTÓBAL,-74.091,4.56551794199999,3523
SANTA FE,-74.07422540371,4.60500000000002,2899
SUBA,-74.084498683,4.736963178,7207
SUMAPAZ,-74.1306743795,4.466075082499995,10
TEUSAQUILLO,-74.079580855,4.63813799899998,3471
TUNJUELITO,-74.137323141,4.58043699299998,2877
USAQUÉN,-74.03985143837,4.728797313159985,4660
USME,-74.11543678499,4.51100000000002,2610
