Codigo_Accidente,Fecha_Acc,Localidad,Longitud,Latitud,Coordenada_Completa,Dentro_Poligono_Distrital,Localidad_Por_Punto
4509384,2018-02-22,USAQUÉN,,,False,False,
4504883,2018-01-05,SUBA,,,False,False,
4506143,2018-01-23,TEUSAQUILLO,,,False,False,
4506149,2018-01-23,CIUDAD BOLÍVAR,,,False,False,
4506560,2018-01-26,SANTA FE,,,False,False,
4506971,2018-01-30,KENNEDY,,,False,False,
4507389,2018-02-05,USAQUÉN,,,False,False,
4507403,2018-02-04,USAQUÉN,,,False,False,
4507783,2018-02-08,SANTA FE,,,False,False,
4507799,2018-02-08,TUNJUELITO,,,False,False,
4508166,2018-02-12,USAQUÉN,,,False,False,
4508171,2018-02-12,ANTONIO NARIÑO,,,False,False,
4508172,2018-02-11,BOSA,,,False,False,
4508175,2018-02-11,ANTONIO NARIÑO,,,False,False,
4508189,2018-02-12,USAQUÉN,,,False,False,
4504898,2018-01-05,ANTONIO NARIÑO,,,False,False,
4504915,2018-01-07,TEUSAQUILLO,,,False,False,
4505326,2018-01-14,LOS MÁRTIRES,,,False,False,
4505740,2018-01-18,PUENTE ARANDA,,,False,False,
4505747,2018-01-18,TUNJUELITO,-74.1549,4.59649999999999,True,True,CIUDAD BOLIVAR
4506152,2018-01-23,ENGATIVÁ,,,False,False,
4506157,2018-01-22,LOS MÁRTIRES,,,False,False,
4506567,2018-01-26,BOSA,,,False,False,
4506568,2018-01-27,LOS MÁRTIRES,,,False,False,
4506579,2018-01-26,RAFAEL URIBE URIBE,,,False,False,
4506580,2018-01-27,SANTA FE,,,False,False,
4506582,2018-01-26,CIUDAD BOLÍVAR,,,False,False,
4506585,2018-01-28,BOSA,-74.209634074,4.60581046099998,True,False,Fuera de polígonos
4506591,2018-01-27,ANTONIO NARIÑO,,,False,False,
4507815,2018-02-07,BOSA,,,False,False,
4507819,2018-02-07,BOSA,,,False,False,
4509429,2018-02-22,CIUDAD BOLÍVAR,,,False,False,
4509433,2018-02-22,SAN CRISTÓBAL,,,False,False,
4509437,2018-02-23,BOSA,,,False,False,
4504919,2018-01-06,SUBA,,,False,False,
4504921,2018-01-08,TUNJUELITO,,,False,False,
4504925,2018-01-08,PUENTE ARANDA,,,False,False,
4504931,2018-01-08,USAQUÉN,-74.057311918,4.68405251799999,True,True,CHAPINERO
4505343,2018-01-14,TUNJUELITO,,,False,False,
4505357,2018-01-13,CIUDAD BOLÍVAR,,,False,False,
4505358,2018-01-13,BARRIOS UNIDOS,,,False,False,
4506599,2018-01-26,SAN CRISTÓBAL,,,False,False,
4509052,2018-02-20,ANTONIO NARIÑO,,,False,False,
