Dia_Num,Franja_Horaria,Siniestros,Dias_Calendario,Promedio_Diario,Dia_Semana
0,Madrugada,1040,366,2.841530054644809,Lunes
0,Mañana,3783,366,10.336065573770492,Lunes
0,Tarde,3797,366,10.37431693989071,Lunes
0,Noche,3003,366,8.204918032786885,Lunes
1,Madrugada,853,366,2.330601092896175,Martes
1,Mañana,4461,366,12.188524590163935,Martes
1,Tarde,4081,366,11.150273224043715,Martes
1,Noche,3301,366,9.019125683060109,Martes
2,Madrugada,943,365,2.5835616438356164,Miércoles
2,Mañana,4319,365,11.832876712328767,Miércoles
2,Tarde,4007,365,10.978082191780821,Miércoles
2,Noche,3235,365,8.863013698630137,Miércoles
3,Madrugada,1114,365,3.052054794520548,Jueves
3,Mañana,4239,365,11.613698630136986,Jueves
3,Tarde,3877,365,10.621917808219179,Jueves
3,Noche,3233,365,8.857534246575343,Jueves
4,Madrugada,1292,365,3.5397260273972604,Viernes
4,Mañana,4315,365,11.821917808219178,Viernes
4,Tarde,4068,365,11.145205479452056,Viernes
4,Noche,3756,365,10.29041095890411,Viernes
5,Madrugada,1844,365,5.052054794520548,Sábado
5,Mañana,3482,365,9.53972602739726,Sábado
5,Tarde,4046,365,11.084931506849315,Sábado
5,Noche,3673,365,10.063013698630137,Sábado
6,Madrugada,1838,365,5.035616438356165,Domingo
6,Mañana,2332,365,6.389041095890411,Domingo
6,Tarde,2830,365,7.7534246575342465,Domingo
6,Noche,2437,365,6.676712328767123,Domingo
