Localidad,Siniestros_Pre,Siniestros_Post,Siniestros_Pre_Sin2020,Dias_Pre,Dias_Post,Dias_Pre_Sin2020,Promedio_Diario_Pre,Promedio_Diario_Post,Promedio_Diario_Pre_Sin2020,Ratio_Post_Pre,Ratio_Post_Pre_Sin2020
ANTONIO NARIÑO,1614,637,1336,1826,731,1460,0.8838992332968236,0.8714090287277702,0.915068493150685,0.9858691985482704,0.9522883098372338
BARRIOS UNIDOS,2356,924,2025,1826,731,1460,1.290251916757941,1.2640218878248974,1.3869863013698631,0.9796706142479892,0.9113441759132593
BOSA,4332,1918,3667,1826,731,1460,2.3723986856516976,2.6238030095759233,2.5116438356164386,1.1059705206568873,1.0446556842053034
CANDELARIA,272,162,230,1826,731,1460,0.14895947426067907,0.2216142270861833,0.15753424657534246,1.487748450953569,1.4067685719383811
CHAPINERO,2130,890,1846,1826,731,1460,1.1664841182913472,1.2175102599179206,1.2643835616438357,1.0437435373756445,0.9629279412135233
CIUDAD BOLÍVAR,3202,1263,2654,1826,731,1460,1.7535596933187294,1.7277701778385772,1.8178082191780822,0.9852930495731549,0.9504688996399105
ENGATIVÁ,5518,2359,4787,1826,731,1460,3.021905805038335,3.2270861833105333,3.2787671232876714,1.067897675013598,0.9842376911705407
FONTIBÓN,3748,1608,3198,1826,731,1460,2.0525739320920042,2.1997264021887823,2.1904109589041094,1.071691678334236,1.0042528290167676
KENNEDY,8246,3633,6979,1826,731,1460,4.515881708652793,4.969904240766074,4.78013698630137,1.1005390666552088,1.039699124733983
LOS MÁRTIRES,2070,902,1773,1826,731,1460,1.1336254107338444,1.2339261285909713,1.2143835616438357,1.0884778313077845,1.016092581919243
PUENTE ARANDA,4257,1909,3617,1826,731,1460,2.3313253012048194,2.6114911080711356,2.4773972602739724,1.1201744804646214,1.0541269056632177
RAFAEL URIBE URIBE,2262,1047,1898,1826,731,1460,1.2387732749178533,1.4322845417236663,1.3,1.1562120129033662,1.1017573397874356
SAN CRISTÓBAL,2596,1097,2195,1826,731,1460,1.4216867469879517,1.5006839945280437,1.5034246575342465,1.0555658605578613,0.9981770533079471
SANTA FE,1980,1013,1728,1826,731,1460,1.0843373493975903,1.3857729138166894,1.1835616438356165,1.2779905760753913,1.1708497998682676
SUBA,4980,2255,4182,1826,731,1460,2.727272727272727,3.084815321477428,2.8643835616438356,1.1310989512083904,1.076956090233631
SUMAPAZ,8,2,6,1826,731,1460,0.004381161007667032,0.0027359781121751026,0.00410958904109589,0.6244870041039672,0.6657546739626083
TEUSAQUILLO,2444,1106,2137,1826,731,1460,1.3384446878422782,1.5129958960328318,1.4636986301369863,1.130413464057263,1.0336799289695529
TUNJUELITO,2156,848,1798,1826,731,1460,1.180722891566265,1.1600547195622435,1.2315068493150685,0.9824953237108797,0.9419799168859152
USAQUÉN,3372,1430,2858,1826,731,1460,1.8466593647316538,1.9562243502051984,1.9575342465753425,1.0593314541739893,0.9993308437017459
USME,1745,908,1434,1826,731,1460,0.9556407447973713,1.2421340629274966,0.9821917808219178,1.2997918618370252,1.2646553220879673
