Anio,Es_Festivo,Dias,Siniestros,Promedio_Diario
2018,False,347,12705,36.61383285302594
2018,True,18,410,22.77777777777778
2019,False,348,12489,35.88793103448276
2019,True,17,380,22.352941176470587
2020,False,348,8709,25.025862068965516
2020,True,18,231,12.833333333333334
2021,False,347,11095,31.97406340057637
2021,True,18,373,20.72222222222222
2022,False,347,12439,35.847262247838614
2022,True,18,457,25.38888888888889
2023,False,347,12577,36.24495677233429
2023,True,18,422,23.444444444444443
2024,False,348,12497,35.910919540229884
2024,True,18,415,23.055555555555557
