Condicion_Especifica,Dia_Semana,Franja_Horaria,Registros_Actores
Ciclista,Domingo,Madrugada,140
Ciclista,Domingo,Mañana,507
Ciclista,Domingo,Tarde,492
Ciclista,Domingo,Noche,325
Ciclista,Jueves,Madrugada,191
Ciclista,Jueves,Mañana,918
Ciclista,Jueves,Tarde,729
Ciclista,Jueves,Noche,643
Ciclista,Lunes,Madrugada,140
Ciclista,Lunes,Mañana,810
Ciclista,Lunes,Tarde,726
Ciclista,Lunes,Noche,530
Ciclista,Martes,Madrugada,148
Ciclista,Martes,Mañana,978
Ciclista,Martes,Tarde,767
Ciclista,Martes,Noche,649
Ciclista,Miércoles,Madrugada,145
Ciclista,Miércoles,Mañana,953
Ciclista,Miércoles,Tarde,769
Ciclista,Miércoles,Noche,609
Ciclista,Sábado,Madrugada,198
Ciclista,Sábado,Mañana,728
Ciclista,Sábado,Tarde,695
Ciclista,Sábado,Noche,602
Ciclista,Viernes,Madrugada,190
Ciclista,Viernes,Mañana,978
Ciclista,Viernes,Tarde,756
Ciclista,Viernes,Noche,671
Cond Carga,Domingo,Madrugada,49
Cond Carga,Domingo,Mañana,74
Cond Carga,Domingo,Tarde,59
Cond Carga,Domingo,Noche,47
Cond Carga,Jueves,Madrugada,83
Cond Carga,Jueves,Mañana,292
Cond Carga,Jueves,Tarde,314
Cond Carga,Jueves,Noche,128
Cond Carga,Lunes,Madrugada,73
Cond Carga,Lunes,Mañana,230
Cond Carga,Lunes,Tarde,277
Cond Carga,Lunes,Noche,106
Cond Carga,Martes,Madrugada,84
Cond Carga,Martes,Mañana,306
Cond Carga,Martes,Tarde,305
Cond Carga,Martes,Noche,150
Cond Carga,Miércoles,Madrugada,73
Cond Carga,Miércoles,Mañana,272
Cond Carga,Miércoles,Tarde,303
Cond Carga,Miércoles,Noche,136
Cond Carga,Sábado,Madrugada,118
Cond Carga,Sábado,Mañana,241
Cond Carga,Sábado,Tarde,215
Cond Carga,Sábado,Noche,105
Cond Carga,Viernes,Madrugada,109
Cond Carga,Viernes,Mañana,301
Cond Carga,Viernes,Tarde,296
Cond Carga,Viernes,Noche,152
Cond Livianos,Domingo,Madrugada,1020
Cond Livianos,Domingo,Mañana,1105
Cond Livianos,Domingo,Tarde,1471
Cond Livianos,Domingo,Noche,1158
Cond Livianos,Jueves,Madrugada,499
Cond Livianos,Jueves,Mañana,1788
Cond Livianos,Jueves,Tarde,1703
Cond Livianos,Jueves,Noche,1292
Cond Livianos,Lunes,Madrugada,472
Cond Livianos,Lunes,Mañana,1575
Cond Livianos,Lunes,Tarde,1589
Cond Livianos,Lunes,Noche,1251
Cond Livianos,Martes,Madrugada,341
Cond Livianos,Martes,Mañana,1893
Cond Livianos,Martes,Tarde,1813
Cond Livianos,Martes,Noche,1329
Cond Livianos,Miércoles,Madrugada,430
Cond Livianos,Miércoles,Mañana,1736
Cond Livianos,Miércoles,Tarde,1726
Cond Livianos,Miércoles,Noche,1271
Cond Livianos,Sábado,Madrugada,988
Cond Livianos,Sábado,Mañana,1715
Cond Livianos,Sábado,Tarde,2006
Cond Livianos,Sábado,Noche,1752
