Localidad,Siniestros,Fallecidos,Con_Peaton,Con_Moto,Con_Bicicleta,Cobertura_Coordenadas,Participacion_Ciudad
KENNEDY,11879,444,2847,7070,2665,0.9866150349356007,0.13942651909059967
ENGATIVÁ,7877,315,1710,4558,1750,0.9904786086073378,0.09245413678564303
SUBA,7235,271,1720,3993,1814,0.9961299239806496,0.08491883707555253
BOSA,6250,246,1601,3639,1648,0.96192,0.07335766851723612
PUENTE ARANDA,6166,243,1181,3933,1107,0.969023678235485,0.07237174145236447
FONTIBÓN,5356,258,972,3140,1204,0.9901045556385362,0.06286458761253066
USAQUÉN,4802,190,1095,2552,720,0.9704289879216993,0.05636216387516285
CIUDAD BOLÍVAR,4465,249,1493,2698,606,0.9702127659574468,0.05240671838871348
SAN CRISTÓBAL,3693,138,1224,2224,361,0.9539669645274844,0.043345579173464474
TEUSAQUILLO,3550,127,569,2168,464,0.9777464788732394,0.041667155717790116
RAFAEL URIBE URIBE,3309,149,1035,1969,439,0.9785433665760048,0.03883848401976549
BARRIOS UNIDOS,3280,104,575,1934,523,0.9707317073170731,0.038498104437845515
CHAPINERO,3020,83,782,1616,421,0.9900662251655629,0.035446425427528495
TUNJUELITO,3004,140,652,1906,484,0.9577230359520639,0.03525862979612437
SANTA FE,2993,127,1059,1644,310,0.9682592716338122,0.035129520299534034
LOS MÁRTIRES,2972,125,779,1805,405,0.9579407806191117,0.03488303853331612
USME,2653,171,983,1486,251,0.9822842065586129,0.03113886313219639
ANTONIO NARIÑO,2251,84,504,1409,332,0.94002665482008,0.02642049789316776
CANDELARIA,434,12,152,250,78,0.9354838709677419,0.005093956501836876
SUMAPAZ,10,5,0,6,1,0.6,0.00011737226962757779
