Fecha_Acc,Anio,Mes,Dia_Num,Dia_Semana,Es_Festivo,Nombre_Festivo,Siniestros
2018-01-01,2018,1,0,Lunes,True,Año Nuevo,15
2018-01-02,2018,1,1,Martes,False,,15
2018-01-03,2018,1,2,Miércoles,False,,20
2018-01-04,2018,1,3,Jueves,False,,22
2018-01-05,2018,1,4,Viernes,False,,17
2018-01-06,2018,1,5,Sábado,False,,16
2018-01-07,2018,1,6,Domingo,False,,16
2018-01-08,2018,1,0,Lunes,True,Día de los Reyes Magos (observado),17
2018-01-09,2018,1,1,Martes,False,,29
2018-01-10,2018,1,2,Miércoles,False,,25
2018-01-11,2018,1,3,Jueves,False,,32
2018-01-12,2018,1,4,Viernes,False,,28
2018-01-13,2018,1,5,Sábado,False,,41
2018-01-14,2018,1,6,Domingo,False,,23
2018-01-15,2018,1,0,Lunes,False,,29
2018-01-16,2018,1,1,Martes,False,,23
2018-01-17,2018,1,2,Miércoles,False,,32
2018-01-18,2018,1,3,Jueves,False,,33
2018-01-19,2018,1,4,Viernes,False,,32
2018-01-20,2018,1,5,Sábado,False,,23
2018-01-21,2018,1,6,Domingo,False,,19
2018-01-22,2018,1,0,Lunes,False,,34
2018-01-23,2018,1,1,Martes,False,,30
2018-01-24,2018,1,2,Miércoles,False,,35
2018-01-25,2018,1,3,Jueves,False,,40
2018-01-26,2018,1,4,Viernes,False,,42
2018-01-27,2018,1,5,Sábado,False,,20
2018-01-28,2018,1,6,Domingo,False,,20
2018-01-29,2018,1,0,Lunes,False,,38
2018-01-30,2018,1,1,Martes,False,,32
2018-01-31,2018,1,2,Miércoles,False,,34
2018-02-01,2018,2,3,Jueves,False,,28
2018-02-02,2018,2,4,Viernes,False,,30
2018-02-03,2018,2,5,Sábado,False,,40
2018-02-04,2018,2,6,Domingo,False,,22
2018-02-05,2018,2,0,Lunes,False,,31
2018-02-06,2018,2,1,Martes,False,,36
2018-02-07,2018,2,2,Miércoles,False,,35
2018-02-08,2018,2,3,Jueves,False,,37
2018-02-09,2018,2,4,Viernes,False,,37
2018-02-10,2018,2,5,Sábado,False,,38
2018-02-11,2018,2,6,Domingo,False,,34
2018-02-12,2018,2,0,Lunes,False,,33
2018-02-13,2018,2,1,Martes,False,,42
2018-02-14,2018,2,2,Miércoles,False,,41
2018-02-15,2018,2,3,Jueves,False,,30
2018-02-16,2018,2,4,Viernes,False,,45
2018-02-17,2018,2,5,Sábado,False,,46
2018-02-18,2018,2,6,Domingo,False,,30
2018-02-19,2018,2,0,Lunes,False,,24
2018-02-20,2018,2,1,Martes,False,,41
2018-02-21,2018,2,2,Miércoles,False,,43
2018-02-22,2018,2,3,Jueves,False,,39
2018-02-23,2018,2,4,Viernes,False,,38
2018-02-24,2018,2,5,Sábado,False,,39
2018-02-25,2018,2,6,Domingo,False,,26
2018-02-26,2018,2,0,Lunes,False,,39
2018-02-27,2018,2,1,Martes,False,,40
2018-02-28,2018,2,2,Miércoles,False,,44
2018-03-01,2018,3,3,Jueves,False,,47
2018-03-02,2018,3,4,Viernes,False,,40
2018-03-03,2018,3,5,Sábado,False,,43
2018-03-04,2018,3,6,Domingo,False,,27
2018-03-05,2018,3,0,Lunes,False,,30
2018-03-06,2018,3,1,Martes,False,,36
2018-03-07,2018,3,2,Miércoles,False,,39
2018-03-08,2018,3,3,Jueves,False,,41
2018-03-09,2018,3,4,Viernes,False,,48
2018-03-10,2018,3,5,Sábado,False,,35
2018-03-11,2018,3,6,Domingo,False,,27
2018-03-12,2018,3,0,Lunes,False,,42
2018-03-13,2018,3,1,Martes,False,,51
2018-03-14,2018,3,2,Miércoles,False,,40
2018-03-15,2018,3,3,Jueves,False,,48
2018-03-16,2018,3,4,Viernes,False,,43
2018-03-17,2018,3,5,Sábado,False,,48
2018-03-18,2018,3,6,Domingo,False,,16
2018-03-19,2018,3,0,Lunes,True,Día de San José,17
2018-03-20,2018,3,1,Martes,False,,52
2018-03-21,2018,3,2,Miércoles,False,,34
2018-03-22,2018,3,3,Jueves,False,,32
