Celda_Este_100m,Celda_Norte_100m,Siniestros,Localidad_Declarada_Dominante,Siniestros_Con_Muertos,CRS,Lado_Celda_Metros
48782,20685,307,KENNEDY,10,EPSG:9377,100
48738,20697,148,KENNEDY,5,EPSG:9377,100
48758,20751,104,FONTIBÓN,7,EPSG:9377,100
48736,20634,101,TUNJUELITO,5,EPSG:9377,100
48740,20729,92,FONTIBÓN,9,EPSG:9377,100
48807,20675,90,SANTA FE,5,EPSG:9377,100
48736,20684,88,KENNEDY,15,EPSG:9377,100
48786,20637,84,SAN CRISTÓBAL,3,EPSG:9377,100
48692,20660,82,BOSA,5,EPSG:9377,100
48797,20660,79,SANTA FE,6,EPSG:9377,100
48792,20769,76,ENGATIVÁ,8,EPSG:9377,100
48730,20662,75,KENNEDY,5,EPSG:9377,100
48806,20673,72,SANTA FE,1,EPSG:9377,100
48720,20699,71,KENNEDY,4,EPSG:9377,100
48735,20679,71,KENNEDY,8,EPSG:9377,100
48701,20695,71,KENNEDY,3,EPSG:9377,100
48733,20642,70,TUNJUELITO,6,EPSG:9377,100
48745,20713,70,KENNEDY,1,EPSG:9377,100
48803,20702,69,TEUSAQUILLO,6,EPSG:9377,100
48801,20658,68,SANTA FE,7,EPSG:9377,100
48782,20671,68,PUENTE ARANDA,2,EPSG:9377,100
48710,20680,66,KENNEDY,6,EPSG:9377,100
48750,20718,65,FONTIBÓN,5,EPSG:9377,100
48788,20793,63,SUBA,7,EPSG:9377,100
48767,20737,63,FONTIBÓN,1,EPSG:9377,100
