Modelo,Grupo,Score_Min,Score_Max,Probabilidad_Predicha_Media,Frecuencia_Observada,Observaciones
Regresión Logística,1,0.0013971471632665637,0.2217010986549606,0.09478274254246441,0.01179890560875513,5848
Regresión Logística,2,0.22170638659355768,0.2827813851237547,0.25626764407999536,0.039500683994528045,5848
Regresión Logística,3,0.28278315742238597,0.3213986001707295,0.30277088143487185,0.038810053000512906,5849
Regresión Logística,4,0.32140567753483784,0.356864397333532,0.33963462004687056,0.049769112365315546,5847
Regresión Logística,5,0.3568687714484136,0.38525913196368167,0.37177760981275526,0.04805061559507524,5848
Regresión Logística,6,0.3852619276081042,0.41015886589156686,0.39784476983373246,0.05950752393980848,5848
Regresión Logística,7,0.410161120965405,0.4343323625679341,0.42197511757856704,0.06600547195622435,5848
Regresión Logística,8,0.4343358292068929,0.46647132072680486,0.449486167062857,0.07523939808481532,5848
Regresión Logística,9,0.46647724517465594,0.5208927783170295,0.4913604700868867,0.09832421340629274,5848
Regresión Logística,10,0.5208939143203672,0.7450328768328109,0.5686992272923231,0.1436388508891929,5848
Random Forest,1,0.008748492193859364,0.26094251582424843,0.11879333687594128,0.011114911080711354,5848
Random Forest,2,0.2609430986493932,0.3116109500863063,0.28944031896360983,0.029582763337893298,5848
Random Forest,3,0.31162120092189555,0.3471670792012009,0.32992231341995254,0.041894664842681256,5848
Random Forest,4,0.34716743409910245,0.37349886948034927,0.36113019396186846,0.04103967168262654,5848
Random Forest,5,0.3735022988534865,0.3948483842658699,0.3842698131834702,0.0560875512995896,5848
Random Forest,6,0.39485051773767316,0.41776149201857754,0.40612190722206054,0.06976744186046512,5848
Random Forest,7,0.417772313965614,0.44211235946102984,0.43005145304821235,0.08789329685362517,5848
Random Forest,8,0.4421180399018344,0.47893153888755596,0.45811140990455174,0.08823529411764706,5848
Random Forest,9,0.4789368573787048,0.5359336737088471,0.5078005946624757,0.08669630642954856,5848
Random Forest,10,0.5359477148708103,0.7505680005146121,0.5743013879602435,0.11833105335157319,5848
XGBoost,1,9.990619219024666e-06,0.06210910528898239,0.020442277193069458,0.005129958960328317,5848
XGBoost,2,0.06212874874472618,0.12976226210594177,0.09754576534032822,0.017783857729138167,5848
XGBoost,3,0.12977004051208496,0.18441098928451538,0.15735852718353271,0.030266757865937074,5848
XGBoost,4,0.18443448841571808,0.23595845699310303,0.2103969305753708,0.03744870041039672,5848
XGBoost,5,0.23595932126045227,0.28628095984458923,0.2610175609588623,0.053009575923392616,5848
XGBoost,6,0.28629782795906067,0.33678147196769714,0.3112991154193878,0.06686046511627906,5848
XGBoost,7,0.33680346608161926,0.3884238004684448,0.36248984932899475,0.07062243502051983,5848
XGBoost,8,0.388423889875412,0.44580602645874023,0.416217178106308,0.08823529411764706,5848
XGBoost,9,0.4458063542842865,0.5249579548835754,0.482203871011734,0.09986320109439124,5848
XGBoost,10,0.5249767303466797,0.8813735246658325,0.6043705344200134,0.16142270861833105,5848
