Localidad,Observaciones,Casos_Positivos,Prevalencia,F1,Precision,Recall,AUC_ROC,Average_Precision,Pocos_Positivos_Menos_100,Criterio,Grupo
CHAPINERO,2924,181,0.0619015047879617,0.28716216216216217,0.20681265206812652,0.4696132596685083,0.7878869971378677,0.21949427038535702,False,F1,Mejores
TEUSAQUILLO,2924,223,0.07626538987688099,0.2852983988355167,0.21120689655172414,0.43946188340807174,0.7269820345562099,0.18213856007084847,False,F1,Mejores
CIUDAD BOLÍVAR,2924,389,0.13303693570451436,0.2490079365079365,0.15427166564228642,0.6452442159383034,0.5994016925003676,0.1907936378626624,False,F1,Mejores
KENNEDY,2924,197,0.0673734610123119,0.24390243902439024,0.16051364365971107,0.5076142131979695,0.7066410532762244,0.15454117001303358,False,F1,Mejores
BARRIOS UNIDOS,2924,158,0.054035567715458276,0.20930232558139536,0.16544117647058823,0.2848101265822785,0.7492780782924664,0.14022371665282446,False,F1,Mejores
SUMAPAZ,2924,2,0.0006839945280437756,0.0,0.0,0.0,0.36533196440793975,0.0007852039253395404,True,F1,Peores
FONTIBÓN,2924,66,0.022571819425444596,0.02127659574468085,0.03571428571428571,0.015151515151515152,0.6430381491613123,0.044542713031695366,True,F1,Peores
USAQUÉN,2924,38,0.012995896032831737,0.03773584905660377,0.06666666666666667,0.02631578947368421,0.6455073494547179,0.026727466247293476,True,F1,Peores
CANDELARIA,2924,167,0.05711354309165527,0.06818181818181818,0.09278350515463918,0.05389221556886228,0.5980617654788356,0.0741446391460532,False,F1,Peores
BOSA,2924,135,0.04616963064295486,0.07665505226480836,0.07236842105263158,0.08148148148148149,0.5755149197243137,0.060612752390954386,False,F1,Peores
CIUDAD BOLÍVAR,2924,389,0.13303693570451436,0.2490079365079365,0.15427166564228642,0.6452442159383034,0.5994016925003676,0.1907936378626624,False,Recall,Mejores
KENNEDY,2924,197,0.0673734610123119,0.24390243902439024,0.16051364365971107,0.5076142131979695,0.7066410532762244,0.15454117001303358,False,Recall,Mejores
CHAPINERO,2924,181,0.0619015047879617,0.28716216216216217,0.20681265206812652,0.4696132596685083,0.7878869971378677,0.21949427038535702,False,Recall,Mejores
TEUSAQUILLO,2924,223,0.07626538987688099,0.2852983988355167,0.21120689655172414,0.43946188340807174,0.7269820345562099,0.18213856007084847,False,Recall,Mejores
RAFAEL URIBE URIBE,2924,288,0.09849521203830369,0.19427402862985685,0.13768115942028986,0.3298611111111111,0.5851366232507166,0.1491611228114203,False,Recall,Mejores
SUMAPAZ,2924,2,0.0006839945280437756,0.0,0.0,0.0,0.36533196440793975,0.0007852039253395404,True,Recall,Peores
FONTIBÓN,2924,66,0.022571819425444596,0.02127659574468085,0.03571428571428571,0.015151515151515152,0.6430381491613123,0.044542713031695366,True,Recall,Peores
USAQUÉN,2924,38,0.012995896032831737,0.03773584905660377,0.06666666666666667,0.02631578947368421,0.6455073494547179,0.026727466247293476,True,Recall,Peores
CANDELARIA,2924,167,0.05711354309165527,0.06818181818181818,0.09278350515463918,0.05389221556886228,0.5980617654788356,0.0741446391460532,False,Recall,Peores
BOSA,2924,135,0.04616963064295486,0.07665505226480836,0.07236842105263158,0.08148148148148149,0.5755149197243137,0.060612752390954386,False,Recall,Peores
