Variable,Caida_AP_Media,Desviacion_Entre_Repeticiones
Localidad,0.051660443932583074,0.0014681470774040282
Franja_Horaria,0.04927853260671683,0.0019433574020578975
Accidentes_Prom_30d,0.01305910624997494,0.007323007018821274
Accidentes_Prom_7d,0.010773411070610214,0.004314469246494926
Es_Fin_de_Semana,0.010482444426449558,0.0036624091279476977
Dia_Semana,0.005681352537047417,0.004494818797280667
Accidentes_Semana_Anterior,0.0018038698650009548,0.0005392532989682687
Es_Festivo,0.0016206028358208187,0.0012104813847411077
Sin_Historial_Accidentes_Prom_7d,0.0,0.0
Sin_Historial_Accidentes_Prom_30d,0.0,0.0
Sin_Historial_Accidentes_Semana_Anterior,0.0,0.0
Mes,-0.005341654751958154,0.002178836517388943
