Localidad,Observaciones,Casos_Positivos,Prevalencia,F1,Precision,Recall,AUC_ROC,Average_Precision
CHAPINERO,2924,181,0.0619015047879617,0.28716216216216217,0.20681265206812652,0.4696132596685083,0.7878869971378677,0.21949427038535702
TEUSAQUILLO,2924,223,0.07626538987688099,0.2852983988355167,0.21120689655172414,0.43946188340807174,0.7269820345562099,0.18213856007084847
CIUDAD BOLÍVAR,2924,389,0.13303693570451436,0.2490079365079365,0.15427166564228642,0.6452442159383034,0.5994016925003676,0.1907936378626624
KENNEDY,2924,197,0.0673734610123119,0.24390243902439024,0.16051364365971107,0.5076142131979695,0.7066410532762244,0.15454117001303358
BARRIOS UNIDOS,2924,158,0.054035567715458276,0.20930232558139536,0.16544117647058823,0.2848101265822785,0.7492780782924664,0.14022371665282446
USME,2924,236,0.08071135430916553,0.20489296636085627,0.16028708133971292,0.2838983050847458,0.6162779333131557,0.1353556630051711
RAFAEL URIBE URIBE,2924,288,0.09849521203830369,0.19427402862985685,0.13768115942028986,0.3298611111111111,0.5851366232507166,0.1491611228114203
TUNJUELITO,2924,227,0.07763337893296854,0.1880794701986755,0.13446969696969696,0.31277533039647576,0.6538215899865898,0.12774474825277402
LOS MÁRTIRES,2924,247,0.0844733242134063,0.17647058823529413,0.13856812933025403,0.242914979757085,0.6231377198779829,0.12388541760724144
SAN CRISTÓBAL,2924,320,0.1094391244870041,0.17381974248927037,0.1323529411764706,0.253125,0.5666036626344086,0.13381977779051646
ANTONIO NARIÑO,2924,163,0.05574555403556772,0.1592356687898089,0.16556291390728478,0.15337423312883436,0.6521832358241323,0.10131729094816269
SANTA FE,2924,280,0.09575923392612859,0.1414141414141414,0.11864406779661017,0.175,0.5565309595850443,0.11200521756214235
ENGATIVÁ,2924,117,0.04001367989056088,0.1285140562248996,0.12121212121212122,0.13675213675213677,0.6656831669300498,0.08149103272145178
PUENTE ARANDA,2924,122,0.041723666210670314,0.10996563573883161,0.09467455621301775,0.13114754098360656,0.6415909011127883,0.07711215056896735
SUBA,2924,132,0.04514363885088919,0.09345794392523364,0.07936507936507936,0.11363636363636363,0.6642246244681775,0.07645840307096337
BOSA,2924,135,0.04616963064295486,0.07665505226480836,0.07236842105263158,0.08148148148148149,0.5755149197243137,0.060612752390954386
CANDELARIA,2924,167,0.05711354309165527,0.06818181818181818,0.09278350515463918,0.05389221556886228,0.5980617654788356,0.0741446391460532
USAQUÉN,2924,38,0.012995896032831737,0.03773584905660377,0.06666666666666667,0.02631578947368421,0.6455073494547179,0.026727466247293476
FONTIBÓN,2924,66,0.022571819425444596,0.02127659574468085,0.03571428571428571,0.015151515151515152,0.6430381491613123,0.044542713031695366
SUMAPAZ,2924,2,0.0006839945280437756,0.0,0.0,0.0,0.36533196440793975,0.0007852039253395404
