Modelo,Grupo,Score_Medio,Frecuencia_Observada,Observaciones
Regresión Logística,0,0.0816018148086924,0.027359781121751026,5848
Regresión Logística,1,0.3517365424312332,0.1308139534883721,5848
Regresión Logística,2,0.4227276160618409,0.14449384404924762,5848
Regresión Logística,3,0.4636366713219676,0.16535567715458277,5848
Regresión Logística,4,0.497515839588882,0.1880984952120383,5848
Regresión Logística,5,0.529212457610605,0.19220246238030095,5848
Regresión Logística,6,0.5574546596119992,0.2079343365253078,5848
Regresión Logística,7,0.58626291095782,0.2414500683994528,5848
Regresión Logística,8,0.618322540531316,0.28864569083447333,5848
Regresión Logística,9,0.6656564296745996,0.31480848153214774,5848
Random Forest base,0,0.10536737748713611,0.028034188034188036,5850
Random Forest base,1,0.3440905992233018,0.08706808073896681,5846
Random Forest base,2,0.41593742888210317,0.11251709986320109,5848
Random Forest base,3,0.46024344282215035,0.1393400581295948,5849
Random Forest base,4,0.5003299344371626,0.1616213442791175,5847
Random Forest base,5,0.5305490661189172,0.19750341997264023,5848
Random Forest base,6,0.5545756386379419,0.2320451436388509,5848
Random Forest base,7,0.5768845623853306,0.2768467852257182,5848
Random Forest base,8,0.6048389891309348,0.3228454172366621,5848
Random Forest base,9,0.647752824338878,0.3433652530779754,5848
Random Forest ajustado,0,0.0831533377823657,0.024615384615384615,5850
Random Forest ajustado,1,0.2678258612281071,0.08176530961341089,5846
Random Forest ajustado,2,0.34023774532804874,0.0996922024623803,5848
Random Forest ajustado,3,0.39996048433829906,0.13166894664842682,5848
Random Forest ajustado,4,0.4580969738048418,0.17592750897589332,5849
Random Forest ajustado,5,0.5074071994212929,0.19291944586967677,5847
Random Forest ajustado,6,0.5541611882843538,0.23820109439124487,5848
Random Forest ajustado,7,0.6016012690066116,0.27872777017783856,5848
Random Forest ajustado,8,0.6504894717654714,0.3216484268125855,5848
Random Forest ajustado,9,0.7110037145635828,0.35601915184678523,5848
XGBoost,0,0.039667803794145584,0.03349854725687917,5851
XGBoost,1,0.1957363337278366,0.09409751924721985,5845
XGBoost,2,0.2852937579154968,0.10755813953488372,5848
XGBoost,3,0.35778141021728516,0.14227086183310533,5848
XGBoost,4,0.43311846256256104,0.1670656634746922,5848
XGBoost,5,0.5025551915168762,0.19579343365253077,5848
XGBoost,6,0.5638096332550049,0.23050615595075238,5848
XGBoost,7,0.6220983862876892,0.26453488372093026,5848
XGBoost,8,0.6759578585624695,0.3178864569083447,5848
XGBoost,9,0.7463205456733704,0.3479822161422709,5848
