Localidad,Observaciones,Positivos,Prevalencia_Train,Prevalencia_Test,Score_Medio_RF,Brier_RF,Brier_Constante_Train_Local,Diferencia_Brier_RF_Menos_Base
ANTONIO NARIÑO,2924,558,0.1974260679079956,0.1908344733242134,0.5109305070481639,0.2558334400761407,0.15446012623444047,0.1013733138417002
BARRIOS UNIDOS,2924,385,0.12677984665936473,0.13166894664842682,0.44410508144838085,0.20772640875653198,0.11435613843562359,0.09337027032090839
BOSA,2924,596,0.17606790799561883,0.20383036935704515,0.5244021021018465,0.2644796182232538,0.16305430414566036,0.10142531407759342
CANDELARIA,2924,157,0.03600766703176342,0.05369357045143639,0.19070959385428848,0.07167965984469596,0.051123362123383025,0.020556297721312934
CHAPINERO,2924,758,0.24383899233296824,0.259233926128591,0.5693305460102376,0.28103549344927337,0.19226870165911883,0.08876679179015454
CIUDAD BOLÍVAR,2924,323,0.12075575027382256,0.11046511627906977,0.41676269994009696,0.18974580319693196,0.09836847151253533,0.09137733168439663
ENGATIVÁ,2924,775,0.2443866374589266,0.2650478796169631,0.5713989330144392,0.2839283270857747,0.19522438805502798,0.08870393903074672
FONTIBÓN,2924,464,0.1512869660460022,0.15868673050615595,0.4910245816010039,0.2425192801702261,0.1335600085814883,0.10895927158873778
KENNEDY,2924,494,0.14416757940854327,0.1689466484268126,0.4841569750854042,0.23745026649087034,0.14101768067357173,0.0964325858172986
LOS MÁRTIRES,2924,762,0.23781489594742608,0.2606019151846785,0.5549463755425343,0.26900262219606924,0.19320780523247502,0.07579481696359422
PUENTE ARANDA,2924,580,0.17278203723986857,0.19835841313269495,0.5187872004503231,0.25869575160799374,0.1596665040759852,0.09902924753200854
RAFAEL URIBE URIBE,2924,641,0.18962212486308871,0.2192202462380301,0.5153341898786312,0.2519831118274118,0.1720387786662933,0.07994433316111849
SAN CRISTÓBAL,2924,481,0.14786418400876233,0.16450068399452805,0.47838206948550466,0.22856905703602712,0.13771698209163685,0.09085207494439027
SANTA FE,2924,832,0.2293263964950712,0.28454172366621067,0.5553467975172953,0.26925485074617406,0.2066264635138885,0.06262838723228556
SUBA,2924,724,0.2082420591456736,0.2476060191518468,0.5384471309269753,0.2683248881117591,0.18784679977898966,0.08047808833276943
SUMAPAZ,2924,2,0.001095290251916758,0.0006839945280437756,0.024553290870333196,0.0014321463331598973,0.0006836958437018582,0.0007484504894580391
TEUSAQUILLO,2924,489,0.1354052573932092,0.16723666210670315,0.46454114542560454,0.21981770818158078,0.14028179928014578,0.079535908901435
TUNJUELITO,2924,713,0.24876779846659364,0.24384404924760603,0.5677992476655365,0.28457191462710163,0.1844083722005086,0.10016354242659303
USAQUÉN,2924,616,0.19030668127053668,0.2106703146374829,0.526816315507883,0.2597659137192696,0.16670301073193028,0.09306290298733932
USME,2924,768,0.20810514786418402,0.26265389876880985,0.5331879487053895,0.2621282881691683,0.19664239445560858,0.0654858937135597
