Variable,Importancia
remainder__Accidentes_Prom_30d,0.25680930436469857
cat__Localidad_SUMAPAZ,0.12519508307302546
remainder__Accidentes_Prom_7d,0.09316075127436402
cat__Localidad_CANDELARIA,0.07181689793983058
cat__Franja_Horaria_Madrugada,0.051566925579373264
cat__Dia_Semana_Sunday,0.032695648138443216
cat__Localidad_CIUDAD BOLÍVAR,0.030295018057804084
cat__Franja_Horaria_Noche,0.02574567776047202
remainder__Mes,0.024296031068412084
remainder__Es_Festivo,0.02279718795897319
cat__Localidad_TUNJUELITO,0.019995250492202177
cat__Localidad_CHAPINERO,0.019318962552894937
remainder__Es_Fin_de_Semana,0.017957871428382035
cat__Localidad_LOS MÁRTIRES,0.01738256080048419
cat__Localidad_BARRIOS UNIDOS,0.01603156724395778
cat__Franja_Horaria_Tarde,0.01310996111499779
remainder__Accidentes_Semana_Anterior,0.013080481012524325
cat__Localidad_SAN CRISTÓBAL,0.012781741945998118
cat__Localidad_SANTA FE,0.01267523688658144
cat__Localidad_TEUSAQUILLO,0.012664872915560796
cat__Franja_Horaria_Mañana,0.012243521745729943
cat__Localidad_ENGATIVÁ,0.012075680748215549
cat__Localidad_FONTIBÓN,0.011983369282720212
cat__Dia_Semana_Saturday,0.010216141653189537
cat__Localidad_KENNEDY,0.0088400615297867
cat__Localidad_USME,0.00848944932398354
cat__Localidad_BOSA,0.005585124317032718
cat__Localidad_RAFAEL URIBE URIBE,0.005192794110394495
cat__Localidad_ANTONIO NARIÑO,0.005143790768209814
cat__Localidad_PUENTE ARANDA,0.004962861588441804
cat__Localidad_USAQUÉN,0.004911643670656913
cat__Dia_Semana_Tuesday,0.004648862947293147
cat__Dia_Semana_Friday,0.0038147376296424405
cat__Localidad_SUBA,0.003319753894270569
cat__Dia_Semana_Wednesday,0.00298916590833216
cat__Dia_Semana_Monday,0.002976237430768872
cat__Dia_Semana_Thursday,0.002671626143033652
remainder__Sin_Historial_Accidentes_Semana_Anterior,0.0004550220017343247
remainder__Sin_Historial_Accidentes_Prom_30d,5.8494327353185967e-05
remainder__Sin_Historial_Accidentes_Prom_7d,4.4629370230408894e-05
