Localidad,Observaciones,Positivos,Prevalencia,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,Tasa_Predicha_Positiva,TN,FP,FN,TP
SANTA FE,2924,832,0.28454172366621067,0.4853273137697517,0.6212934002242977,0.35978582023819533,0.35323110624315446,0.7752403846153846,0.43546845124282985,0.6053544179291073,0.26925485074617406,0.6244870041039672,911,1181,187,645
LOS MÁRTIRES,2924,762,0.2606019151846785,0.4807616025386751,0.6494202534350181,0.34601312498892295,0.3445139283683911,0.7952755905511811,0.46669750231267343,0.6309865464319273,0.26900262219606924,0.6015731874145007,1009,1153,156,606
CHAPINERO,2924,758,0.259233926128591,0.4630126485243388,0.625624913206499,0.3344937542892502,0.3263101026472177,0.7968337730870713,0.4242843951985226,0.6105590841427969,0.28103549344927337,0.6330369357045144,919,1247,154,604
RAFAEL URIBE URIBE,2924,641,0.2192202462380301,0.44638949671772427,0.6506960146999835,0.3167106885507315,0.34372367312552654,0.6365054602184087,0.6587823039859834,0.647643882102196,0.2519831118274118,0.4059507523939809,1504,779,233,408
USME,2924,768,0.26265389876880985,0.43924875431199695,0.5902532177643784,0.30939107635375274,0.31124388919065726,0.74609375,0.41187384044526903,0.5789837952226345,0.2621282881691683,0.6296169630642955,888,1268,195,573
ENGATIVÁ,2924,775,0.2650478796169631,0.4387653501493528,0.6000072051516835,0.34466262630609734,0.29535299374441465,0.8529032258064516,0.2661703117729176,0.5595367687896846,0.2839283270857747,0.7653898768809849,572,1577,114,661
TUNJUELITO,2924,713,0.24384404924760603,0.42417153996101364,0.6244932420645719,0.3281130888472804,0.2937365010799136,0.7629733520336606,0.4084124830393487,0.5856929175365047,0.28457191462710163,0.6333789329685362,903,1308,169,544
SUBA,2924,724,0.2476060191518468,0.4075355632449058,0.576472250125565,0.3006076809809749,0.2823654768247203,0.7320441988950276,0.38772727272727275,0.5598857358111502,0.26832488811175914,0.6419288645690835,853,1347,194,530
SAN CRISTÓBAL,2924,481,0.16450068399452805,0.3929236499068901,0.6732149984298983,0.3074552126424276,0.35581787521079256,0.4386694386694387,0.8436348751534998,0.6411521569114692,0.22856905703602712,0.2028043775649795,2061,382,270,211
USAQUÉN,2924,616,0.2106703146374829,0.3923337091319053,0.6519812509847172,0.35822814923260293,0.3005181347150259,0.564935064935065,0.6490467937608319,0.6069909293479484,0.2597659137192696,0.3960328317373461,1498,810,268,348
TEUSAQUILLO,2924,489,0.16723666210670315,0.3874538745387454,0.6687477691974989,0.2906820501830841,0.35294117647058826,0.4294478527607362,0.8418891170431212,0.6356684849019287,0.21981770818158078,0.20348837209302326,2050,385,279,210
ANTONIO NARIÑO,2924,558,0.1908344733242134,0.3502129673450071,0.5901132228675653,0.226481561175501,0.2379421221864952,0.6630824372759857,0.4991546914623838,0.5811185643691847,0.2558334400761407,0.5318057455540356,1181,1185,188,370
BARRIOS UNIDOS,2924,385,0.13166894664842682,0.34890965732087226,0.6590272272036746,0.2249922153105228,0.2906574394463668,0.43636363636363634,0.8385191020086649,0.6374413691861506,0.20772640875653198,0.19767441860465115,2129,410,217,168
PUENTE ARANDA,2924,580,0.19835841313269495,0.32054176072234764,0.5866371954807579,0.25703340175286876,0.23825503355704697,0.4896551724137931,0.6126279863481229,0.551141579380958,0.25869575160799374,0.4076607387140903,1436,908,296,284
BOSA,2924,596,0.20383036935704515,0.26855123674911663,0.5513053085864528,0.2510392755424581,0.231990231990232,0.3187919463087248,0.7298109965635738,0.5243014714361494,0.2644796182232538,0.28009575923392616,1699,629,406,190
KENNEDY,2924,494,0.1689466484268126,0.1875,0.5971722397160993,0.20940742949924032,0.23076923076923078,0.15789473684210525,0.8930041152263375,0.5254494260342214,0.23745026649087034,0.11559507523939809,2170,260,416,78
FONTIBÓN,2924,464,0.15868673050615595,0.1865671641791045,0.5928274810765349,0.20888058434819065,0.22058823529411764,0.16163793103448276,0.8922764227642277,0.5269571768993553,0.2425192801702261,0.11627906976744186,2195,265,389,75
CIUDAD BOLÍVAR,2924,323,0.11046511627906977,0.13615023474178403,0.621463761853919,0.18306545312358138,0.2815533980582524,0.08978328173374613,0.9715494040753556,0.5306663429045508,0.18974580319693196,0.03522571819425445,2527,74,294,29
SUMAPAZ,2924,2,0.0006839945280437756,0.0,0.12166324435318276,0.000569425294190299,0.0,0.0,1.0,0.5,0.0014321463331598973,0.0,2922,0,2,0
CANDELARIA,2924,157,0.05369357045143639,0.0,0.5836243350313868,0.06362848745551496,0.0,0.0,1.0,0.5,0.07167965984469596,0.0,2767,0,157,0
