Localidad,Tasa,Observaciones_Train
ANTONIO NARIÑO,0.1974260679079956,7304
BARRIOS UNIDOS,0.12677984665936473,7304
BOSA,0.17606790799561883,7304
CANDELARIA,0.03600766703176342,7304
CHAPINERO,0.24383899233296824,7304
CIUDAD BOLÍVAR,0.12075575027382256,7304
ENGATIVÁ,0.2443866374589266,7304
FONTIBÓN,0.1512869660460022,7304
KENNEDY,0.14416757940854327,7304
LOS MÁRTIRES,0.23781489594742608,7304
PUENTE ARANDA,0.17278203723986857,7304
RAFAEL URIBE URIBE,0.18962212486308871,7304
SAN CRISTÓBAL,0.14786418400876233,7304
SANTA FE,0.2293263964950712,7304
SUBA,0.2082420591456736,7304
SUMAPAZ,0.001095290251916758,7304
TEUSAQUILLO,0.1354052573932092,7304
TUNJUELITO,0.24876779846659364,7304
USAQUÉN,0.19030668127053668,7304
USME,0.20810514786418402,7304
