Localidad,Franja_Horaria,Tasa,Observaciones_Train
ANTONIO NARIÑO,Madrugada,0.0832420591456736,1826
ANTONIO NARIÑO,Mañana,0.2420591456736035,1826
ANTONIO NARIÑO,Noche,0.21686746987951808,1826
ANTONIO NARIÑO,Tarde,0.2475355969331873,1826
BARRIOS UNIDOS,Madrugada,0.08269441401971522,1826
BARRIOS UNIDOS,Mañana,0.09036144578313253,1826
BARRIOS UNIDOS,Noche,0.26889375684556405,1826
BARRIOS UNIDOS,Tarde,0.0651697699890471,1826
BOSA,Madrugada,0.23110624315443593,1826
BOSA,Mañana,0.15060240963855423,1826
BOSA,Noche,0.1456736035049288,1826
BOSA,Tarde,0.1768893756845564,1826
CANDELARIA,Madrugada,0.016976998904709748,1826
CANDELARIA,Mañana,0.04819277108433735,1826
CANDELARIA,Noche,0.03450164293537788,1826
CANDELARIA,Tarde,0.0443592552026287,1826
CHAPINERO,Madrugada,0.11062431544359255,1826
CHAPINERO,Mañana,0.3263964950711939,1826
CHAPINERO,Noche,0.2289156626506024,1826
CHAPINERO,Tarde,0.3094194961664841,1826
CIUDAD BOLÍVAR,Madrugada,0.19331872946330778,1826
CIUDAD BOLÍVAR,Mañana,0.08926615553121577,1826
CIUDAD BOLÍVAR,Noche,0.0859802847754655,1826
CIUDAD BOLÍVAR,Tarde,0.1144578313253012,1826
ENGATIVÁ,Madrugada,0.26013143483023,1826
ENGATIVÁ,Mañana,0.2738225629791895,1826
ENGATIVÁ,Noche,0.21358159912376778,1826
ENGATIVÁ,Tarde,0.23001095290251916,1826
FONTIBÓN,Madrugada,0.20810514786418402,1826
FONTIBÓN,Mañana,0.1593647316538883,1826
FONTIBÓN,Noche,0.09583789704271632,1826
FONTIBÓN,Tarde,0.14184008762322015,1826
KENNEDY,Madrugada,0.10843373493975904,1826
KENNEDY,Mañana,0.1768893756845564,1826
KENNEDY,Noche,0.12979189485213583,1826
KENNEDY,Tarde,0.1615553121577218,1826
LOS MÁRTIRES,Madrugada,0.08981380065717415,1826
LOS MÁRTIRES,Mañana,0.31106243154435925,1826
LOS MÁRTIRES,Noche,0.24808324205914567,1826
LOS MÁRTIRES,Tarde,0.3023001095290252,1826
PUENTE ARANDA,Madrugada,0.21084337349397592,1826
PUENTE ARANDA,Mañana,0.1746987951807229,1826
PUENTE ARANDA,Noche,0.14457831325301204,1826
PUENTE ARANDA,Tarde,0.16100766703176342,1826
RAFAEL URIBE URIBE,Madrugada,0.09857612267250822,1826
RAFAEL URIBE URIBE,Mañana,0.3138006571741512,1826
RAFAEL URIBE URIBE,Noche,0.2738225629791895,1826
RAFAEL URIBE URIBE,Tarde,0.07228915662650602,1826
SAN CRISTÓBAL,Madrugada,0.10569550930996714,1826
SAN CRISTÓBAL,Mañana,0.08652792990142388,1826
SAN CRISTÓBAL,Noche,0.3313253012048193,1826
SAN CRISTÓBAL,Tarde,0.06790799561883899,1826
SANTA FE,Madrugada,0.0832420591456736,1826
SANTA FE,Mañana,0.2475355969331873,1826
SANTA FE,Noche,0.2667031763417306,1826
SANTA FE,Tarde,0.3198247535596933,1826
SUBA,Madrugada,0.22015334063526834,1826
SUBA,Mañana,0.23493975903614459,1826
SUBA,Noche,0.16210295728368018,1826
SUBA,Tarde,0.2157721796276013,1826
SUMAPAZ,Madrugada,0.0,1826
SUMAPAZ,Mañana,0.002190580503833516,1826
SUMAPAZ,Noche,0.001095290251916758,1826
SUMAPAZ,Tarde,0.001095290251916758,1826
TEUSAQUILLO,Madrugada,0.11226725082146768,1826
TEUSAQUILLO,Mañana,0.09419496166484119,1826
TEUSAQUILLO,Noche,0.26451259583789705,1826
TEUSAQUILLO,Tarde,0.07064622124863089,1826
TUNJUELITO,Madrugada,0.11062431544359255,1826
TUNJUELITO,Mañana,0.32146768893756844,1826
TUNJUELITO,Noche,0.2634173055859803,1826
TUNJUELITO,Tarde,0.29956188389923327,1826
USAQUÉN,Madrugada,0.1615553121577218,1826
USAQUÉN,Mañana,0.1330777656078861,1826
USAQUÉN,Noche,0.3329682365826944,1826
USAQUÉN,Tarde,0.13362541073384446,1826
USME,Madrugada,0.10021905805038335,1826
USME,Mañana,0.24534501642935377,1826
USME,Noche,0.22289156626506024,1826
USME,Tarde,0.26396495071193865,1826
