Variable,Importancia
remainder__Accidentes_Prom_30d,0.23074082199598844
remainder__Accidentes_Prom_7d,0.09254867762906316
cat__Localidad_SUMAPAZ,0.07793243265648322
remainder__Mes,0.06632209907380705
cat__Localidad_CANDELARIA,0.04705280978199602
cat__Franja_Horaria_Madrugada,0.03809031294011048
cat__Franja_Horaria_Noche,0.027781265725706904
cat__Localidad_CIUDAD BOLÍVAR,0.026155342437030667
cat__Dia_Semana_Sunday,0.02403135287289709
remainder__Accidentes_Semana_Anterior,0.02003136084568227
cat__Localidad_SAN CRISTÓBAL,0.019913139542052236
cat__Franja_Horaria_Tarde,0.01926732316761219
cat__Localidad_BARRIOS UNIDOS,0.018181521119224487
remainder__Es_Fin_de_Semana,0.017772131136876937
cat__Localidad_TUNJUELITO,0.017604809648993008
cat__Franja_Horaria_Mañana,0.01754974505446001
remainder__Es_Festivo,0.017513713728922447
cat__Localidad_CHAPINERO,0.017345849251738262
cat__Localidad_LOS MÁRTIRES,0.0161357626098296
cat__Localidad_TEUSAQUILLO,0.015647494842350618
cat__Localidad_FONTIBÓN,0.015277228052998772
cat__Localidad_RAFAEL URIBE URIBE,0.014520534218312238
cat__Localidad_SANTA FE,0.014143931613980332
cat__Dia_Semana_Saturday,0.012054986393093268
cat__Localidad_USME,0.011370355835825336
cat__Localidad_ENGATIVÁ,0.011237037534468421
cat__Localidad_USAQUÉN,0.010351990436925746
cat__Dia_Semana_Tuesday,0.009553301571684603
cat__Localidad_BOSA,0.009191566600324429
cat__Localidad_PUENTE ARANDA,0.008940321228812054
cat__Localidad_KENNEDY,0.008909700720601783
cat__Dia_Semana_Friday,0.008856816668497877
cat__Localidad_ANTONIO NARIÑO,0.00826921849222435
cat__Dia_Semana_Wednesday,0.007555275112997674
cat__Dia_Semana_Thursday,0.007449256039111125
cat__Dia_Semana_Monday,0.007233475139668904
cat__Localidad_SUBA,0.006949151811392752
remainder__Sin_Historial_Accidentes_Semana_Anterior,0.00044915728096730546
remainder__Sin_Historial_Accidentes_Prom_7d,4.0574290552349536e-05
remainder__Sin_Historial_Accidentes_Prom_30d,2.8154896735550678e-05
