Localidad,Franja_Horaria,Dia_Semana,Tasa,Observaciones_Train
ANTONIO NARIÑO,Madrugada,Friday,0.07662835249042145,261
ANTONIO NARIÑO,Madrugada,Monday,0.05747126436781609,261
ANTONIO NARIÑO,Madrugada,Saturday,0.13026819923371646,261
ANTONIO NARIÑO,Madrugada,Sunday,0.12692307692307692,260
ANTONIO NARIÑO,Madrugada,Thursday,0.07662835249042145,261
ANTONIO NARIÑO,Madrugada,Tuesday,0.06513409961685823,261
ANTONIO NARIÑO,Madrugada,Wednesday,0.04980842911877394,261
ANTONIO NARIÑO,Mañana,Friday,0.2681992337164751,261
ANTONIO NARIÑO,Mañana,Monday,0.25287356321839083,261
ANTONIO NARIÑO,Mañana,Saturday,0.2260536398467433,261
ANTONIO NARIÑO,Mañana,Sunday,0.20384615384615384,260
ANTONIO NARIÑO,Mañana,Thursday,0.25287356321839083,261
ANTONIO NARIÑO,Mañana,Tuesday,0.24904214559386972,261
ANTONIO NARIÑO,Mañana,Wednesday,0.2413793103448276,261
ANTONIO NARIÑO,Noche,Friday,0.23371647509578544,261
ANTONIO NARIÑO,Noche,Monday,0.19157088122605365,261
ANTONIO NARIÑO,Noche,Saturday,0.25287356321839083,261
ANTONIO NARIÑO,Noche,Sunday,0.16538461538461538,260
ANTONIO NARIÑO,Noche,Thursday,0.210727969348659,261
ANTONIO NARIÑO,Noche,Tuesday,0.2260536398467433,261
ANTONIO NARIÑO,Noche,Wednesday,0.23754789272030652,261
ANTONIO NARIÑO,Tarde,Friday,0.19540229885057472,261
ANTONIO NARIÑO,Tarde,Monday,0.26436781609195403,261
ANTONIO NARIÑO,Tarde,Saturday,0.26053639846743293,261
ANTONIO NARIÑO,Tarde,Sunday,0.2,260
ANTONIO NARIÑO,Tarde,Thursday,0.30268199233716475,261
ANTONIO NARIÑO,Tarde,Tuesday,0.23754789272030652,261
ANTONIO NARIÑO,Tarde,Wednesday,0.2720306513409962,261
BARRIOS UNIDOS,Madrugada,Friday,0.10727969348659004,261
BARRIOS UNIDOS,Madrugada,Monday,0.05747126436781609,261
BARRIOS UNIDOS,Madrugada,Saturday,0.13409961685823754,261
BARRIOS UNIDOS,Madrugada,Sunday,0.10384615384615385,260
BARRIOS UNIDOS,Madrugada,Thursday,0.06896551724137931,261
BARRIOS UNIDOS,Madrugada,Tuesday,0.0421455938697318,261
BARRIOS UNIDOS,Madrugada,Wednesday,0.06513409961685823,261
BARRIOS UNIDOS,Mañana,Friday,0.1111111111111111,261
BARRIOS UNIDOS,Mañana,Monday,0.09961685823754789,261
BARRIOS UNIDOS,Mañana,Saturday,0.05363984674329502,261
BARRIOS UNIDOS,Mañana,Sunday,0.015384615384615385,260
BARRIOS UNIDOS,Mañana,Thursday,0.10727969348659004,261
BARRIOS UNIDOS,Mañana,Tuesday,0.11494252873563218,261
BARRIOS UNIDOS,Mañana,Wednesday,0.13026819923371646,261
BARRIOS UNIDOS,Noche,Friday,0.30268199233716475,261
BARRIOS UNIDOS,Noche,Monday,0.23754789272030652,261
BARRIOS UNIDOS,Noche,Saturday,0.2950191570881226,261
BARRIOS UNIDOS,Noche,Sunday,0.15,260
BARRIOS UNIDOS,Noche,Thursday,0.28735632183908044,261
BARRIOS UNIDOS,Noche,Tuesday,0.2835249042145594,261
BARRIOS UNIDOS,Noche,Wednesday,0.32567049808429116,261
BARRIOS UNIDOS,Tarde,Friday,0.07279693486590039,261
BARRIOS UNIDOS,Tarde,Monday,0.08812260536398467,261
BARRIOS UNIDOS,Tarde,Saturday,0.07279693486590039,261
BARRIOS UNIDOS,Tarde,Sunday,0.023076923076923078,260
